Cuvee,Provenance,statut,Cave,Ajouté_le,Emplacement,Prix
68,Foire aux vins 2014 (monop),à boire,2,13/09/2014,Clayette 4 & cave,"6,60€"
68,Foire aux vins 2014 (monop),à boire,2,13/09/2014,Clayette 4 & cave,"6,60€"
72,Achat 1j1v Dec 2015,à boire,1,18/12/2015,Orleans,"30,00€"
72,Achat 1j1v Dec 2015,à boire,1,18/12/2015,Orleans,"30,00€"
73,FAV Vente Privée 2018,à boire,1,10/09/2018,Clayette 1,"29,00€"
77,Cadeau Nadine Anniversaire 2018,à boire,1,28/07/2018,0,"0,00€"
78,Vente Privé Aout 2016,à boire,1,16/09/2016,0,"32,00€"
79,Achat Papa,à boire,1,01/01/2011,Orleans,"0,00€"
79,Achat Papa,à boire,2,01/01/2011,Orleans,"0,00€"
80,Cadeau JM Hourlier Juillet 2015,à boire,1,20/08/2015,Orleans,"0,00€"
82,Cadeau Nadine Anniversaire 2018,à boire,1,28/07/2018,0,"0,00€"
83,Cadeau Nadine Anniversaire 2018,à boire,2,28/07/2018,Clayette 6,"0,00€"
84,Cadeau Nadine Anniversaire 2018,à boire,2,28/07/2018,Clayette 7,"0,00€"
91,Achat Saumur Fevrier 18,à boire,2,01/03/2018,0,"13,50€"
91,Achat Saumur Fevrier 18,à boire,2,01/03/2018,0,"13,50€"
95,Achat Vente Privée Mars,à boire,2,30/04/2016,0,"18,00€"
95,Achat Vente Privée Mars,à boire,2,30/04/2016,0,"18,00€"
96,SVI Nov 2019,à boire,1,29/11/2019,0,"21,00€"
96,SVI Nov 2019,à boire,1,29/11/2019,0,"21,00€"
97,Cadeau Marraine Anniversaire,à boire,1,10/08/2016,0,"0,00€"
97,Cadeau Marraine Anniversaire,à boire,1,10/08/2016,0,"0,00€"
97,Cadeau Marraine Anniversaire,à boire,1,10/08/2016,0,"0,00€"
97,Cadeau Marraine Anniversaire,à boire,1,10/08/2016,0,"0,00€"
97,Cadeau Marraine Anniversaire,à boire,2,10/08/2016,0,"0,00€"
98,Achat 1j1v Avril 2016,à boire,3,11/05/2016,0,"23,00€"
101,Achat Saumur Fevrier 18,à boire,2,01/03/2018,0,"14,50€"
101,Achat Saumur Fevrier 18,à boire,2,01/03/2018,0,"14,50€"
102,Achat Saumur Fevrier 18,à boire,1,01/03/2018,0,"20,00€"
106,Achat lot18.Fr Dec,à boire,2,12/12/2013,Clayette 2,"20,00€"
108,Foire aux vins monoprix 2018,à boire,2,18/09/2018,Clayette 3,"8,70€"
109,Achat WIB Mars 2016,à boire,1,18/03/2016,0,"11,00€"
109,Achat WIB Mars 2016,à boire,2,18/03/2016,0,"11,00€"
109,Achat WIB Mars 2016,à boire,2,18/03/2016,0,"11,00€"
109,Achat WIB Mars 2016,à boire,2,18/03/2016,0,"11,00€"
110,Cadeau Parents Anniversaire,à boire,1,10/08/2016,0,"0,00€"
111,Vente Privée Aout 2019,à boire,2,14/09/2019,Clayette 5,"26,50€"
111,Vente Privée Aout 2019,à boire,2,14/09/2019,Clayette 5,"26,50€"
112,Achat FAV Monop 2015,à boire,2,27/09/2015,0,"9,30€"
112,Achat FAV Monop 2015,à boire,2,27/09/2015,0,"9,30€"
113,FAV Monop 2016,à boire,1,10/09/2016,Clayette 6,"10,00€"
113,FAV Monop 2016,à boire,1,10/09/2016,Clayette 6,"10,00€"
114,Achat FAV Monop 2015,à boire,2,11/09/2015,Clayette 6,"23,00€"
115,Achat Guillaume Juin 2015,à boire,1,12/06/2015,0,"14,00€"
119,Foire aux vins wineandco 2014,à boire,2,17/09/2014,Orleans,"30,00€"
122,Achat lot18.Fr Mars 2014,à boire,1,18/03/2014,Orleans,"30,00€"
122,Achat lot18.Fr Mars 2014,à boire,1,18/03/2014,Orleans,"30,00€"
122,Achat lot18.Fr Mars 2014,à boire,1,18/03/2014,Orleans,"30,00€"
122,Achat lot18.Fr Mars 2014,à boire,2,18/03/2014,Orleans,"30,00€"
124,Foire aux vins wineandco 2014,à boire,1,17/09/2014,Orleans,"34,00€"
125,Achat 1j1v Mars 2016,à boire,2,08/04/2016,"Clayettes 2,4,5","12,00€"
125,Achat 1j1v Mars 2016,à boire,2,08/04/2016,"Clayettes 2,4,5","12,00€"
129,Achat Lot 18.fr,à boire,2,22/10/2013,Clayette 3 & 7,"9,20€"
131,Cadeau Pot depart 2014,à boire,1,19/09/2014,Orleans,"0,00€"
132,Vente Privée Aout 2019,à boire,2,14/09/2019,Clayette 5,"41,50€"
133,SVI Mars 2018,à boire,2,10/04/2018,0,"16,00€"
133,SVI Mars 2018,à boire,2,10/04/2018,0,"16,00€"
134,SVI Mars 2018,à boire,1,10/04/2018,0,"12,50€"
134,SVI Mars 2018,à boire,1,10/04/2018,0,"12,50€"
134,SVI Mars 2018,à boire,1,10/04/2018,0,"12,50€"
134,SVI Mars 2018,à boire,1,10/04/2018,0,"12,50€"
135,Achat Salon des vignerons Mars 14,à boire,1,30/03/2014,Clayette 6,"23,00€"
135,Achat Salon des vignerons Mars 14,à boire,1,30/03/2014,Clayette 6,"23,00€"
140,Cadeau JM Hourlier Juillet 2015,à boire,1,20/08/2015,Orleans,"0,00€"
142,Achat Saumur Fevrier 18,à boire,2,01/03/2018,0,"15,00€"
142,Achat Saumur Fevrier 18,à boire,2,01/03/2018,0,"15,00€"
143,WIB Jan 15,à boire,1,27/01/2015,Orleans,"23,00€"
144,Cadeau papa noel 2019,à boire,1,06/03/2019,,
144,Cadeau papa noel 2019,à boire,1,06/03/2019,,
144,Cadeau papa noel 2019,à boire,1,06/03/2019,,
144,Cadeau papa noel 2019,à boire,1,06/03/2019,,
144,Cadeau papa noel 2019,à boire,1,06/03/2019,,
144,Cadeau papa noel 2019,à boire,1,06/03/2019,,
150,Achat 1j1v Fevrier 19,à boire,1,20/02/2019,0,"26,00€"
151,Achat 1j1v Mai 2016,à boire,3,01/06/2016,0,"17,00€"
152,Achat Soirée Mimile 2020,à boire,3,14/07/2020,Chez Hourlier,"12,00€"
153,Achat Soirée Mimile 2020,à boire,3,14/07/2020,Chez Hourlier,"12,00€"
153,Achat Soirée Mimile 2020,à boire,3,14/07/2020,Chez Hourlier,"12,00€"
